腌膜技术数量,光刻技术数量,技术互补性,技术相似性,光刻技术前三年专利申请量,光刻技术知识广度,腌膜技术知识广度,光刻技术知识深度,腌膜技术知识深度,年份
,1.0,0.0,0.0,0,0,,1.0,,1970
,,,,1,1,,1.0,,1971
,,,,1,1,,1.0,,1972
,,,,0,1,,1.0,,1973
,47.0,0.0,0.0,0,1,,6.857142857142857,,1974
,7.0,0.0,0.0,47,8,,7.714285714285714,,1975
6.0,12.0,-0.7777777777777777,1.8333333333333333,54,12,0.0,7.333333333333333,2.0,1976
7.0,1.0,0.25,0.0,19,17,3.0,6.7,3.25,1977
13.0,8.0,0.09523809523809534,0.9523809523809523,13,18,7.0,5.769230769230769,3.25,1978
23.0,49.0,-25.15561224489796,29.66950113378685,9,23,14.0,4.277777777777778,4.9,1979
5.0,16.0,-1.0714285714285714,2.5,57,28,21.0,5.0588235294117645,5.4,1980
7.0,39.0,-13.045707915273132,15.19788182831661,65,28,22.0,5.380952380952381,5.0,1981
19.0,33.0,-19.793706293706293,23.6013986013986,55,33,22.0,5.37037037037037,5.153846153846154,1982
37.0,91.0,-30.318595467032964,33.623282967032964,72,42,25.0,6.162162162162162,5.352941176470588,1983
36.0,99.0,-37.91649831649831,42.790572390572386,124,60,31.0,7.128205128205129,5.473684210526316,1984
101.0,134.0,-243.23912353127977,255.62210225468402,190,69,35.0,8.425531914893616,7.142857142857143,1985
105.0,175.0,-418.3824693877551,434.63604081632656,233,87,49.0,11.565217391304348,8.277777777777779,1986
138.0,192.0,-604.0979640151514,623.6828125,309,98,62.0,13.82,10.692307692307692,1987
106.0,238.0,-595.8943228454172,614.4117647058823,367,113,76.0,15.236363636363636,12.15,1988
194.0,242.0,-591.8518083251195,611.9183220865873,430,119,76.0,16.913793103448278,15.333333333333334,1989
162.0,298.0,-1348.736810621535,1379.7302888824045,480,127,89.0,19.74137931034483,18.55263157894737,1990
211.0,482.0,-1202.6575236658223,1230.7239017322004,540,140,92.0,16.133333333333333,18.431818181818183,1991
215.0,364.0,-2024.917232923868,2064.113446348997,780,181,99.0,17.857142857142858,20.674418604651162,1992
175.0,462.0,-1859.8728890157463,1890.1146472575044,847,193,93.0,18.49,18.423076923076923,1993
145.0,460.0,-1423.5955731225297,1449.3806970894718,827,210,106.0,19.875,17.823529411764707,1994
182.0,503.0,-2779.3614343138247,2816.7293175255036,922,231,100.0,21.037037037037038,17.528301886792452,1995
272.0,462.0,-4057.6643783101545,4111.724323814242,963,241,101.0,24.21505376344086,20.625,1996
246.0,625.0,-6703.533911366246,6761.764680597015,965,223,95.0,25.12,20.816326530612244,1997
344.0,1011.0,-8918.543935528376,8982.917367262693,1087,234,101.0,29.432692307692307,24.26530612244898,1998
379.0,1144.0,-7192.114569606362,7248.130327977997,1636,252,105.0,33.73873873873874,27.901960784313726,1999
387.0,1117.0,-5894.902901126688,5944.948778786263,2155,272,113.0,36.940677966101696,27.593220338983052,2000
361.0,1364.0,-5524.481155170215,5567.140285604998,2261,295,124.0,38.68382352941177,26.415384615384614,2001
783.0,2596.0,-24216.071059763217,24307.000328777718,2481,344,139.0,46.96103896103896,28.175,2002
726.0,2181.0,-17287.522821402024,17370.493581635943,3960,403,182.0,50.01190476190476,27.74736842105263,2003
820.0,2347.0,-24240.024106986344,24340.211034678166,4777,451,204.0,53.96067415730337,31.08080808080808,2004
930.0,2729.0,-35413.323939194896,35534.47698647557,4528,477,225.0,59.036842105263155,36.2,2005
834.0,2469.0,-29552.803615697503,29663.88172650586,5076,522,245.0,61.61,38.613207547169814,2006
755.0,2635.0,-33462.643157517654,33573.45849675069,5198,546,264.0,61.49751243781095,40.65,2007
943.0,3062.0,-51347.37813265749,51489.91770818808,5104,542,247.0,69.69473684210526,45.5531914893617,2008
857.0,2827.0,-40928.407402809185,41066.877815404194,5697,527,244.0,74.17297297297297,43.62626262626262,2009
818.0,2735.0,-27765.31558448174,27876.928587577717,5889,529,245.0,77.55932203389831,46.74444444444445,2010
893.0,2719.0,-32028.86507675164,32151.502673650866,5562,517,236.0,81.74269005847954,44.90526315789474,2011
783.0,2369.0,-30428.026943301058,30542.622120966033,5454,495,239.0,82.60240963855422,45.680851063829785,2012
943.0,3016.0,-39886.042727914704,40017.680767823775,5088,471,239.0,81.3452380952381,43.816326530612244,2013
1036.0,2062.0,-34118.33907376806,34273.4504359372,5385,466,247.0,76.79166666666667,44.28712871287129,2014
1219.0,2573.0,-69825.99475371883,70034.87502798044,5078,453,254.0,77.67682926829268,42.01724137931034,2015
1156.0,2626.0,-58981.89151240714,59175.39230563824,4635,446,275.0,79.0375,46.27927927927928,2016
907.0,2283.0,-48233.053364035935,48404.42421043092,5199,432,271.0,81.55844155844156,49.16822429906542,2017
837.0,2161.0,-45942.02498627034,46108.19843523632,4909,431,261.0,78.03333333333333,52.07070707070707,2018
853.0,1887.0,-32252.820887439608,32393.769792549097,4444,417,246.0,75.359477124183,50.734693877551024,2019
1199.0,1940.0,-37284.940090251344,37452.97162895794,4048,421,241.0,73.62837837837837,51.583333333333336,2020
741.0,1565.0,-20974.097264809956,21091.09986671802,3827,411,231.0,68.30555555555556,48.784946236559136,2021
616.0,1516.0,-16041.839555064924,16143.111600093067,3505,404,217.0,58.88961038961039,44.229166666666664,2022
125.0,386.0,-1137.641138476826,1163.8309623515813,3081,415,222.0,50.30344827586207,38.83516483516483,2023
